epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.70096,1.00224,0.61322,1.04017,0.97287,0.97802,0.98864,0.75479,0.89035,0.44797,0.95317,0.000269954,0.000269954,0.000269954
2,12.8082,1.02808,0.62909,1.02926,0.94065,0.96106,0.98437,0.7312,0.93725,0.51379,0.96377,0.000536777,0.000536777,0.000536777
3,18.7806,1.01573,0.6595,1.02951,0.91174,0.91712,0.96784,0.68707,1.01455,0.59514,0.99043,0.000792606,0.000792606,0.000792606
4,24.7809,1.061,0.71079,1.04649,0.90358,0.93291,0.9671,0.68085,1.00092,0.59505,0.96855,0.00078352,0.00078352,0.00078352
5,30.6169,1.04273,0.69598,1.03363,0.92551,0.92003,0.96787,0.68025,1.01027,0.59098,0.96618,0.000767026,0.000767026,0.000767026
6,36.5168,1.09841,0.72169,1.04531,0.82688,0.95149,0.92952,0.63538,1.01791,0.64187,0.98924,0.000750533,0.000750533,0.000750533
7,42.2482,1.08289,0.74425,1.06403,0.91124,0.93883,0.96907,0.66132,1.05715,0.59756,0.99622,0.00073404,0.00073404,0.00073404
8,48.4106,1.09421,0.72909,1.05661,0.91179,0.86594,0.94647,0.66544,1.02049,0.62092,0.98991,0.000717546,0.000717546,0.000717546
9,54.5095,1.14162,0.71094,1.07654,0.86016,0.9035,0.95913,0.66214,1.03264,0.63516,0.99078,0.000701053,0.000701053,0.000701053
10,60.461,1.06679,0.67521,1.03554,0.83889,0.84906,0.93904,0.64999,1.02715,0.68408,0.9908,0.000684559,0.000684559,0.000684559
11,66.5489,1.05484,0.69739,1.05115,0.89058,0.87761,0.95406,0.64892,1.09581,0.62393,1.02188,0.000668066,0.000668066,0.000668066
12,72.444,1.05125,0.67958,1.03435,0.95244,0.89885,0.97448,0.63525,1.09424,0.5991,1.02012,0.000651573,0.000651573,0.000651573
13,78.3116,1.02565,0.64389,1.03074,0.92298,0.87834,0.95401,0.67184,1.03782,0.60274,0.99909,0.000635079,0.000635079,0.000635079
14,84.3978,1.01632,0.66636,1.02941,0.83756,0.88523,0.94158,0.68295,0.99582,0.67094,0.98671,0.000618586,0.000618586,0.000618586
15,90.5083,1.07541,0.70689,1.05228,0.90015,0.98127,0.98214,0.67566,1.05891,0.59107,1.00187,0.000602092,0.000602092,0.000602092
16,96.2444,1.047,0.6917,1.05583,0.91389,0.93884,0.96397,0.67182,1.05564,0.58197,1.00845,0.000585599,0.000585599,0.000585599
17,102.518,1.02784,0.67809,1.04407,0.89113,0.91194,0.96388,0.66494,1.09369,0.58562,1.00873,0.000569106,0.000569106,0.000569106
18,108.535,1.02868,0.66053,1.03015,0.91167,0.90765,0.96633,0.6951,0.99519,0.55677,0.98434,0.000552612,0.000552612,0.000552612
19,114.572,1.03137,0.64333,1.02082,0.94452,0.93869,0.97671,0.69936,1.00623,0.54906,0.98622,0.000536119,0.000536119,0.000536119
20,120.573,1.01344,0.63133,1.0137,0.89866,0.9372,0.97437,0.67955,1.03842,0.53896,0.9939,0.000519625,0.000519625,0.000519625
21,126.387,1.01801,0.63751,1.03647,0.91984,0.89785,0.962,0.65861,1.1036,0.58106,1.00806,0.000503132,0.000503132,0.000503132
22,132.329,0.99302,0.62003,1.02857,0.93026,0.9383,0.98089,0.68765,1.02952,0.53471,0.99206,0.000486639,0.000486639,0.000486639
23,138.261,1.01504,0.62518,1.02492,0.93105,0.94807,0.97397,0.67555,1.04058,0.54542,0.99167,0.000470145,0.000470145,0.000470145
24,144.48,0.99875,0.6087,1.01463,0.95932,0.92961,0.97935,0.67862,1.02937,0.52644,0.99581,0.000453652,0.000453652,0.000453652
25,150.46,1.01218,0.6277,1.01244,0.94283,0.91523,0.98295,0.68898,1.01373,0.5564,0.99041,0.000437158,0.000437158,0.000437158
26,156.304,1.00265,0.61106,1.02179,0.9378,0.95474,0.9821,0.6661,1.04071,0.54575,1.00615,0.000420665,0.000420665,0.000420665
27,162.177,1.02371,0.61746,1.01693,0.91199,0.95212,0.97616,0.69633,0.99005,0.55815,0.98752,0.000404172,0.000404172,0.000404172
28,168.075,0.96735,0.59117,1.00541,0.95453,0.93543,0.97895,0.70637,0.98197,0.53239,0.98512,0.000387678,0.000387678,0.000387678
29,174.064,0.98397,0.57908,1.00634,0.92987,0.9315,0.97641,0.71098,1.00165,0.53928,0.9873,0.000371185,0.000371185,0.000371185
30,179.917,0.98105,0.60228,1.00106,0.92418,0.94796,0.98455,0.66956,1.07686,0.53114,1.00576,0.000354691,0.000354691,0.000354691
31,186.008,0.97143,0.57876,0.99787,0.94945,0.95644,0.98283,0.68672,1.01481,0.53505,0.97956,0.000338198,0.000338198,0.000338198
32,192.019,0.94435,0.57323,0.99316,0.97517,0.94147,0.98258,0.69577,1.00925,0.52055,0.97689,0.000321705,0.000321705,0.000321705
33,197.849,0.95595,0.55056,0.98549,0.93534,0.96288,0.98025,0.68037,1.00746,0.52823,0.97618,0.000305211,0.000305211,0.000305211
34,203.637,0.95184,0.55815,0.99884,0.9455,0.93658,0.97948,0.70226,0.98867,0.51885,0.98091,0.000288718,0.000288718,0.000288718
35,209.549,0.96231,0.56063,1.00141,0.95103,0.94736,0.97976,0.70381,0.98464,0.54053,0.98031,0.000272224,0.000272224,0.000272224
36,215.456,0.93321,0.5455,1.00028,0.93054,0.95334,0.97467,0.71214,0.97331,0.53011,0.97764,0.000255731,0.000255731,0.000255731
37,221.295,0.91776,0.53967,0.99476,0.96516,0.9542,0.98513,0.69632,1.00083,0.50656,0.98782,0.000239238,0.000239238,0.000239238
38,227.448,0.95569,0.54803,0.99147,0.97511,0.92723,0.98509,0.711,0.98697,0.50056,0.98071,0.000222744,0.000222744,0.000222744
39,233.385,0.93931,0.55667,0.99841,0.96103,0.94519,0.98495,0.72361,0.95295,0.49719,0.97479,0.000206251,0.000206251,0.000206251
40,239.312,0.94397,0.55538,0.99207,0.96923,0.93776,0.98406,0.72324,0.97662,0.50819,0.97912,0.000189757,0.000189757,0.000189757
41,261.883,0.88846,0.4662,0.97385,0.9376,0.95632,0.97228,0.69529,0.98511,0.536,0.98284,0.000173264,0.000173264,0.000173264
42,267.626,0.84166,0.43911,0.93807,0.9613,0.93066,0.98411,0.69858,1.00565,0.51574,0.98548,0.000156771,0.000156771,0.000156771
43,273.403,0.86701,0.42408,0.95208,0.97235,0.95083,0.98679,0.72507,0.96944,0.51061,0.97354,0.000140277,0.000140277,0.000140277
44,279.16,0.84009,0.40891,0.94342,0.97218,0.95503,0.98814,0.73236,0.95493,0.48587,0.9749,0.000123784,0.000123784,0.000123784
45,284.936,0.81517,0.40988,0.9356,0.97732,0.96776,0.98866,0.72872,0.96368,0.47236,0.97364,0.00010729,0.00010729,0.00010729
46,290.804,0.81646,0.41404,0.93479,0.97946,0.96269,0.98871,0.72837,0.94716,0.47356,0.9695,9.0797e-05,9.0797e-05,9.0797e-05
47,296.425,0.83179,0.40628,0.94683,0.9697,0.97244,0.98843,0.7246,0.95467,0.47382,0.97283,7.43036e-05,7.43036e-05,7.43036e-05
48,302.014,0.78427,0.38469,0.93249,0.96178,0.97257,0.98658,0.7207,0.97703,0.48094,0.97824,5.78102e-05,5.78102e-05,5.78102e-05
49,307.626,0.8182,0.39623,0.92791,0.97062,0.97241,0.98802,0.72199,0.97786,0.47548,0.97864,4.13168e-05,4.13168e-05,4.13168e-05
50,313.233,0.81552,0.3945,0.93319,0.97867,0.97078,0.98885,0.72484,0.96995,0.47493,0.97848,2.48234e-05,2.48234e-05,2.48234e-05
