epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,166.651,1.56413,1.30817,1.6518,0.72782,0.42771,0.54043,0.33689,1.70661,1.61096,1.58941,0.000724518,0.000724518,0.000724518
43,170.464,1.53678,1.26975,1.6255,0.55974,0.50134,0.56464,0.35988,1.67578,1.43057,1.54798,0.000720019,0.000720019,0.000720019
44,174.466,1.54364,1.25917,1.60964,0.53084,0.43748,0.50662,0.32255,1.64883,1.48372,1.512,0.000715519,0.000715519,0.000715519
45,178.316,1.54659,1.28028,1.62467,0.59257,0.50367,0.53757,0.34205,1.68886,1.46896,1.50568,0.00071102,0.00071102,0.00071102
46,182.243,1.53517,1.31273,1.62155,0.5097,0.48336,0.54017,0.30815,1.89844,1.51974,1.61974,0.00070652,0.00070652,0.00070652
47,186.084,1.49706,1.26245,1.59797,0.46158,0.56143,0.51603,0.31694,1.72264,1.41535,1.57058,0.000702021,0.000702021,0.000702021
48,190.046,1.56261,1.31741,1.64114,0.49069,0.60438,0.56422,0.35882,1.71743,1.38277,1.57498,0.000697521,0.000697521,0.000697521
49,193.986,1.50546,1.25591,1.59894,0.76067,0.53867,0.61189,0.37761,1.76653,1.25127,1.51598,0.000693022,0.000693022,0.000693022
50,197.997,1.49607,1.20152,1.60796,0.52194,0.58512,0.55721,0.33898,1.68436,1.32816,1.50178,0.000688522,0.000688522,0.000688522
51,201.982,1.54728,1.29418,1.65034,0.53287,0.65822,0.57395,0.31877,1.74606,1.35432,1.51597,0.000684022,0.000684022,0.000684022
52,206.026,1.52659,1.27885,1.62682,0.60072,0.57737,0.55748,0.33043,1.56893,1.29502,1.46736,0.000679523,0.000679523,0.000679523
53,209.96,1.492,1.22599,1.58824,0.56134,0.57654,0.54975,0.31914,1.60459,1.30974,1.44968,0.000675023,0.000675023,0.000675023
54,213.804,1.51845,1.26062,1.61758,0.60086,0.52804,0.53753,0.32402,1.66333,1.34185,1.49654,0.000670524,0.000670524,0.000670524
55,217.815,1.53351,1.25018,1.62846,0.52608,0.58774,0.54543,0.31583,1.77084,1.38273,1.57125,0.000666024,0.000666024,0.000666024
