epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.7792,0.95283,0.56634,1.01355,0.96472,0.92469,0.98022,0.76843,0.88416,0.53439,0.91038,0.000269954,0.000269954,0.000269954
2,13.2003,0.99065,0.58317,1.02404,0.89884,0.93697,0.95784,0.721,0.98051,0.61825,0.94206,0.000536777,0.000536777,0.000536777
3,19.3619,1.04856,0.66219,1.05006,0.90758,0.89423,0.95481,0.68794,1.06693,0.6697,0.97521,0.000792606,0.000792606,0.000792606
4,25.5667,1.07233,0.69404,1.05053,0.91412,0.88332,0.94909,0.58247,1.3745,0.71908,1.08873,0.00078352,0.00078352,0.00078352
5,31.7374,1.07224,0.70576,1.05013,0.91901,0.90281,0.93786,0.63962,1.15455,0.68071,0.99989,0.000767026,0.000767026,0.000767026
6,37.9649,1.09586,0.717,1.07136,0.8867,0.89752,0.93192,0.684,1.03364,0.68779,0.96802,0.000750533,0.000750533,0.000750533
7,44.2177,1.09113,0.74296,1.07396,0.8347,0.86094,0.90795,0.6714,1.00973,0.65982,0.95467,0.00073404,0.00073404,0.00073404
8,50.3824,1.06795,0.71591,1.04591,0.84287,0.85277,0.92119,0.6755,1.02323,0.68224,0.96765,0.000717546,0.000717546,0.000717546
9,56.275,1.07917,0.70831,1.05494,0.81455,0.88219,0.93504,0.66627,1.06703,0.74114,0.97677,0.000701053,0.000701053,0.000701053
10,62.5021,1.08387,0.71978,1.07504,0.86539,0.84926,0.89155,0.63729,1.06013,0.71322,0.96456,0.000684559,0.000684559,0.000684559
11,68.5422,1.03028,0.66016,1.04384,0.80528,0.82904,0.91275,0.68155,1.02659,0.72217,0.96561,0.000668066,0.000668066,0.000668066
12,74.5697,1.08172,0.68022,1.05862,0.87796,0.8323,0.91031,0.6646,1.02943,0.7161,0.98327,0.000651573,0.000651573,0.000651573
13,80.6425,1.04754,0.67476,1.04633,0.87171,0.8903,0.94706,0.69343,1.0465,0.6767,0.96899,0.000635079,0.000635079,0.000635079
14,86.7522,1.06122,0.67916,1.05886,0.91958,0.91778,0.955,0.67909,1.07174,0.68328,0.97086,0.000618586,0.000618586,0.000618586
15,92.8626,1.04442,0.66652,1.02542,0.95288,0.90586,0.97188,0.6567,1.21367,0.69736,1.01563,0.000602092,0.000602092,0.000602092
16,99.1657,1.05358,0.67739,1.0645,0.88421,0.93055,0.95602,0.67025,1.08159,0.68449,0.97254,0.000585599,0.000585599,0.000585599
17,104.786,1.05458,0.6489,1.05956,0.91748,0.89025,0.96251,0.68172,1.07768,0.62504,0.97328,0.000569106,0.000569106,0.000569106
18,110.811,1.07383,0.64509,1.05804,0.92148,0.86812,0.9559,0.65822,1.09722,0.67752,0.9802,0.000552612,0.000552612,0.000552612
19,116.805,1.0598,0.66683,1.05416,0.91532,0.87073,0.95195,0.68473,1.05849,0.66693,0.9761,0.000536119,0.000536119,0.000536119
20,122.922,1.00612,0.62679,1.03094,0.89115,0.82083,0.93055,0.67245,1.00618,0.6675,0.96788,0.000519625,0.000519625,0.000519625
21,129.02,1.00795,0.62533,1.03912,0.90584,0.87585,0.94965,0.69406,1.04526,0.67179,0.9712,0.000503132,0.000503132,0.000503132
22,134.912,1.03181,0.61383,1.05946,0.87871,0.88519,0.94152,0.68157,1.0545,0.6718,0.9736,0.000486639,0.000486639,0.000486639
