epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,258.059,1.45913,1.23841,1.29157,0.62982,0.63354,0.65406,0.37584,1.54475,1.35998,1.1709,0.000720295,0.000720295,0.000720295
43,264.083,1.42715,1.19939,1.26015,0.59341,0.59447,0.6396,0.35038,1.48324,1.29679,1.17254,0.000717546,0.000717546,0.000717546
44,270.093,1.45222,1.3061,1.27448,0.6467,0.67736,0.69252,0.3662,1.63276,1.27339,1.21343,0.000714797,0.000714797,0.000714797
45,276.153,1.4397,1.23087,1.25917,0.71964,0.61333,0.71527,0.40644,1.4964,1.20424,1.14918,0.000712048,0.000712048,0.000712048
46,282.352,1.42161,1.16996,1.26663,0.70112,0.69634,0.75124,0.39992,1.65619,1.21997,1.20121,0.000709299,0.000709299,0.000709299
47,288.409,1.41711,1.19616,1.2469,0.78331,0.63883,0.74518,0.38894,1.66737,1.20826,1.22073,0.000706551,0.000706551,0.000706551
48,294.502,1.45518,1.21023,1.26415,0.73278,0.63132,0.69523,0.39641,1.45976,1.25134,1.13704,0.000703802,0.000703802,0.000703802
49,300.519,1.4147,1.1732,1.24268,0.6251,0.65171,0.68864,0.37713,1.54263,1.20915,1.16383,0.000701053,0.000701053,0.000701053
50,306.802,1.43893,1.14858,1.25754,0.70243,0.71183,0.73703,0.36467,1.72259,1.2178,1.23676,0.000698304,0.000698304,0.000698304
51,312.98,1.43016,1.13977,1.2443,0.71269,0.66625,0.75515,0.43291,1.47121,1.16229,1.14789,0.000695555,0.000695555,0.000695555
52,319.225,1.41674,1.18561,1.26921,0.69395,0.62721,0.71104,0.389,1.56677,1.30854,1.17702,0.000692806,0.000692806,0.000692806
53,325.479,1.44544,1.19631,1.26617,0.67343,0.72592,0.78438,0.45618,1.4244,1.13307,1.11551,0.000690057,0.000690057,0.000690057
54,331.612,1.37937,1.08893,1.23821,0.72199,0.72075,0.76008,0.40968,1.6354,1.31328,1.19975,0.000687308,0.000687308,0.000687308
55,337.624,1.41323,1.11696,1.25799,0.72822,0.70002,0.77497,0.39029,1.71006,1.20822,1.23649,0.000684559,0.000684559,0.000684559
56,343.733,1.39691,1.09823,1.2506,0.62,0.67786,0.69657,0.4167,1.48715,1.25968,1.14992,0.00068181,0.00068181,0.00068181
57,349.756,1.41761,1.09834,1.25505,0.70875,0.70446,0.76699,0.39028,1.77453,1.18063,1.24386,0.000679062,0.000679062,0.000679062
58,355.815,1.37659,1.10362,1.22963,0.80713,0.70899,0.78995,0.4114,1.69152,1.14359,1.19856,0.000676313,0.000676313,0.000676313
59,361.807,1.39877,1.04569,1.24304,0.77343,0.7139,0.77345,0.38298,1.73711,1.25409,1.2292,0.000673564,0.000673564,0.000673564
60,368.104,1.44412,1.11775,1.25361,0.71181,0.68231,0.74231,0.44287,1.4112,1.22033,1.13236,0.000670815,0.000670815,0.000670815
