epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,172.074,1.16414,0.84393,1.2752,0.59159,0.49856,0.54972,0.34724,1.45064,1.27501,1.44139,0.000540037,0.000540037,0.000540037
43,176.07,1.15045,0.8497,1.25631,0.63613,0.48447,0.58138,0.3683,1.39047,1.11669,1.40957,0.000531038,0.000531038,0.000531038
44,180.108,1.10755,0.77519,1.21668,0.608,0.55114,0.55773,0.36249,1.51002,1.21812,1.50684,0.000522039,0.000522039,0.000522039
45,184.024,1.11483,0.82202,1.23954,0.62096,0.54273,0.55976,0.34179,1.70118,1.23646,1.57186,0.00051304,0.00051304,0.00051304
46,187.957,1.1408,0.81129,1.25463,0.6248,0.55043,0.55882,0.32994,1.64721,1.27619,1.51856,0.00050404,0.00050404,0.00050404
47,191.844,1.11642,0.81454,1.24712,0.73103,0.51801,0.58046,0.3789,1.40603,1.25385,1.39975,0.000495041,0.000495041,0.000495041
48,195.904,1.12912,0.82148,1.23978,0.59316,0.62643,0.57313,0.38618,1.38193,1.1692,1.39463,0.000486042,0.000486042,0.000486042
49,199.988,1.09684,0.77519,1.22639,0.66959,0.57399,0.59206,0.39638,1.43879,1.23954,1.40143,0.000477043,0.000477043,0.000477043
50,203.972,1.0842,0.7658,1.22466,0.57941,0.57174,0.58493,0.38278,1.45189,1.17733,1.4241,0.000468044,0.000468044,0.000468044
51,207.969,1.10526,0.77237,1.23619,0.54914,0.51237,0.56101,0.34635,1.67668,1.45711,1.49913,0.000459045,0.000459045,0.000459045
52,211.994,1.06191,0.77611,1.20258,0.57184,0.524,0.54229,0.34429,1.49217,1.28647,1.42076,0.000450046,0.000450046,0.000450046
53,215.891,1.08327,0.7393,1.20802,0.55832,0.52415,0.53869,0.33389,1.49413,1.22528,1.45356,0.000441047,0.000441047,0.000441047
54,219.83,1.08023,0.78248,1.21624,0.66458,0.5631,0.5853,0.34853,1.51922,1.20589,1.45236,0.000432048,0.000432048,0.000432048
55,223.707,1.09822,0.76051,1.22813,0.65885,0.5788,0.60545,0.37823,1.43595,1.18687,1.4188,0.000423049,0.000423049,0.000423049
56,227.792,1.07961,0.73001,1.22173,0.71414,0.57483,0.62659,0.39436,1.51203,1.15342,1.44313,0.000414049,0.000414049,0.000414049
57,231.914,1.05264,0.73397,1.19544,0.72962,0.59263,0.64937,0.4295,1.37921,1.12104,1.32877,0.00040505,0.00040505,0.00040505
58,235.937,1.04861,0.71739,1.1922,0.60614,0.60809,0.61268,0.40359,1.34596,1.12529,1.322,0.000396051,0.000396051,0.000396051
59,239.924,1.05024,0.74787,1.19757,0.59337,0.53695,0.58015,0.38922,1.34176,1.05318,1.29712,0.000387052,0.000387052,0.000387052
60,243.984,1.06603,0.72146,1.20143,0.60407,0.54247,0.5932,0.39092,1.39857,1.1591,1.35077,0.000378053,0.000378053,0.000378053
61,248.031,1.04925,0.72952,1.20678,0.59728,0.61389,0.6008,0.38173,1.42438,1.17675,1.38588,0.000369054,0.000369054,0.000369054
62,252.026,1.01447,0.69118,1.18085,0.64551,0.57935,0.613,0.39404,1.4794,1.15243,1.40009,0.000360055,0.000360055,0.000360055
63,255.999,1.06614,0.71269,1.18927,0.70103,0.54686,0.60678,0.37976,1.40006,1.12676,1.38909,0.000351056,0.000351056,0.000351056
64,260.146,1.03167,0.7198,1.17099,0.74748,0.55724,0.60846,0.38395,1.34113,1.07586,1.35274,0.000342057,0.000342057,0.000342057
65,264.153,1.03333,0.69802,1.16605,0.69946,0.55959,0.59427,0.37862,1.36888,1.12248,1.37335,0.000333058,0.000333058,0.000333058
66,268.222,1.01094,0.68777,1.16914,0.58623,0.58584,0.57585,0.36431,1.36605,1.12857,1.36613,0.000324058,0.000324058,0.000324058
67,272.153,1.01968,0.6977,1.167,0.54184,0.59736,0.57826,0.37918,1.34289,1.19822,1.37347,0.000315059,0.000315059,0.000315059
68,276.221,1.01564,0.68293,1.18392,0.5342,0.62735,0.60141,0.38867,1.42219,1.25826,1.43789,0.00030606,0.00030606,0.00030606
69,280.189,1.00158,0.66581,1.16247,0.47948,0.60772,0.56843,0.38785,1.35043,1.23906,1.36605,0.000297061,0.000297061,0.000297061
70,284.084,0.99957,0.66454,1.16312,0.56487,0.54374,0.55715,0.36045,1.39077,1.1973,1.35394,0.000288062,0.000288062,0.000288062
71,288.19,0.99738,0.6618,1.16261,0.5182,0.609,0.58036,0.38616,1.36531,1.18087,1.35121,0.000279063,0.000279063,0.000279063
72,292.146,0.97625,0.63743,1.14718,0.54423,0.54625,0.60107,0.39852,1.42764,1.18387,1.41191,0.000270064,0.000270064,0.000270064
73,296.041,0.96558,0.64099,1.14374,0.59041,0.49812,0.59222,0.39167,1.408,1.29165,1.39222,0.000261065,0.000261065,0.000261065
