epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.51645,0.93693,0.55913,1.00903,0.96016,0.96907,0.98787,0.74249,0.92337,0.49429,0.91527,0.000269954,0.000269954,0.000269954
2,13.9223,0.98003,0.58994,1.02136,0.94178,0.90645,0.97231,0.71558,0.98457,0.61667,0.93658,0.000536777,0.000536777,0.000536777
3,19.94,1.07503,0.69269,1.04956,0.94055,0.87327,0.95788,0.7043,1.00212,0.66327,0.93783,0.000792606,0.000792606,0.000792606
4,25.8625,1.09863,0.73363,1.0679,0.91716,0.88389,0.9588,0.69016,1.01721,0.65935,0.94933,0.00078352,0.00078352,0.00078352
5,31.841,1.06297,0.73119,1.06685,0.88913,0.88486,0.93689,0.63015,1.17246,0.68595,0.99401,0.000767026,0.000767026,0.000767026
6,37.6573,1.04522,0.71556,1.05186,0.82683,0.86363,0.91722,0.62435,1.10084,0.77514,0.98162,0.000750533,0.000750533,0.000750533
7,43.7002,1.06663,0.70909,1.06027,0.88564,0.86825,0.95027,0.66314,1.06836,0.70824,0.97007,0.00073404,0.00073404,0.00073404
8,49.7287,1.07451,0.72212,1.0662,0.85088,0.86106,0.9212,0.64823,1.04424,0.7764,0.97836,0.000717546,0.000717546,0.000717546
9,55.9332,1.04774,0.66278,1.04949,0.88052,0.81373,0.91924,0.66063,1.02424,0.75797,0.98015,0.000701053,0.000701053,0.000701053
10,61.9062,1.03316,0.67521,1.03828,0.9465,0.87145,0.96353,0.63358,1.20251,0.65481,1.00999,0.000684559,0.000684559,0.000684559
11,67.6947,1.05409,0.67389,1.04772,0.90873,0.91466,0.96164,0.64821,1.17948,0.67591,0.99549,0.000668066,0.000668066,0.000668066
12,73.5464,1.05471,0.71088,1.05465,0.89394,0.91637,0.95376,0.66785,1.07826,0.69345,0.97728,0.000651573,0.000651573,0.000651573
13,79.4302,1.08382,0.71025,1.06154,0.87464,0.90156,0.95866,0.66338,1.10469,0.69502,0.99048,0.000635079,0.000635079,0.000635079
14,85.4141,1.03984,0.63895,1.0313,0.83578,0.88414,0.94658,0.6628,1.07275,0.72346,0.96766,0.000618586,0.000618586,0.000618586
15,91.3842,1.07471,0.68003,1.05534,0.86784,0.92704,0.94745,0.64728,1.1097,0.7097,0.98131,0.000602092,0.000602092,0.000602092
16,97.4149,1.06142,0.67277,1.06339,0.9118,0.88494,0.92958,0.62363,1.15097,0.70365,0.98852,0.000585599,0.000585599,0.000585599
17,103.139,1.05265,0.65063,1.05348,0.91733,0.80924,0.94284,0.62978,1.13337,0.73445,0.993,0.000569106,0.000569106,0.000569106
