epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.37812,0.95607,0.59685,1.00936,0.94876,0.94752,0.9691,0.75458,0.83267,0.48175,0.89811,0.000269954,0.000269954,0.000269954
2,12.7837,0.9885,0.62349,1.00699,0.94909,0.92066,0.97402,0.74077,0.932,0.52691,0.92858,0.000536777,0.000536777,0.000536777
3,18.4435,0.99131,0.64365,1.01522,0.96335,0.86038,0.95655,0.6816,1.02817,0.60101,0.96289,0.000792606,0.000792606,0.000792606
4,24.2267,1.05775,0.72948,1.04453,0.86655,0.82045,0.90588,0.62968,1.08403,0.75512,0.96386,0.00078352,0.00078352,0.00078352
5,30.4053,1.09261,0.73043,1.05961,0.90169,0.81774,0.91662,0.64057,1.06615,0.72294,0.98522,0.000767026,0.000767026,0.000767026
6,36.3714,1.08471,0.73344,1.05271,0.9059,0.847,0.90862,0.63838,1.03556,0.6815,0.97713,0.000750533,0.000750533,0.000750533
7,42.4255,1.10367,0.69714,1.06806,0.91929,0.84304,0.92231,0.61442,1.11259,0.69327,1.00881,0.00073404,0.00073404,0.00073404
8,48.3585,1.05315,0.70767,1.05657,0.9256,0.83242,0.91606,0.61586,1.09552,0.68796,0.99339,0.000717546,0.000717546,0.000717546
9,54.3114,1.07829,0.6836,1.06201,0.94365,0.84198,0.93118,0.65351,1.0179,0.68,0.97237,0.000701053,0.000701053,0.000701053
10,60.3343,1.06334,0.67404,1.05912,0.93413,0.83898,0.92422,0.64574,1.01343,0.70288,0.9675,0.000684559,0.000684559,0.000684559
11,66.3432,1.07416,0.65824,1.0622,0.9389,0.89915,0.95008,0.65974,1.07447,0.64542,0.98058,0.000668066,0.000668066,0.000668066
12,72.2236,1.06551,0.67516,1.06011,0.862,0.85227,0.9118,0.64459,1.04188,0.75513,0.979,0.000651573,0.000651573,0.000651573
13,78.2447,1.05599,0.71058,1.05087,0.87377,0.91007,0.94135,0.62723,1.11499,0.67946,1.00852,0.000635079,0.000635079,0.000635079
14,84.3498,1.04749,0.67566,1.03849,0.91418,0.8514,0.93674,0.63621,1.11489,0.68519,1.00022,0.000618586,0.000618586,0.000618586
15,90.4832,1.04492,0.65191,1.03352,0.87163,0.82868,0.92618,0.65496,1.09359,0.73469,0.98662,0.000602092,0.000602092,0.000602092
16,96.8855,1.03134,0.67358,1.03154,0.9048,0.87309,0.9452,0.67778,1.02864,0.66188,0.97211,0.000585599,0.000585599,0.000585599
17,102.783,1.05248,0.64219,1.05611,0.87029,0.89109,0.92812,0.6709,1.01179,0.70824,0.96405,0.000569106,0.000569106,0.000569106
18,108.985,1.03339,0.63802,1.03038,0.91806,0.86655,0.94063,0.66691,1.02695,0.68763,0.96403,0.000552612,0.000552612,0.000552612
19,115.076,0.99559,0.64175,1.01858,0.94184,0.84604,0.93847,0.66969,1.03084,0.66622,0.96003,0.000536119,0.000536119,0.000536119
20,121.052,1.02366,0.62477,1.03467,0.88823,0.87204,0.93102,0.65913,1.01609,0.67963,0.95771,0.000519625,0.000519625,0.000519625
21,126.845,1.02384,0.62473,1.0312,0.93493,0.86368,0.93727,0.68151,1.01796,0.63922,0.96192,0.000503132,0.000503132,0.000503132
22,132.765,1.00951,0.58985,1.02536,0.91782,0.89445,0.93679,0.65918,1.0282,0.66488,0.96394,0.000486639,0.000486639,0.000486639
23,138.661,1.03258,0.60819,1.01771,0.9335,0.88874,0.92585,0.66938,1.0109,0.63613,0.96646,0.000470145,0.000470145,0.000470145
24,144.531,0.98921,0.6156,1.01859,0.9275,0.89516,0.94895,0.68097,1.00846,0.63657,0.95287,0.000453652,0.000453652,0.000453652
25,150.22,0.97202,0.5831,0.99417,0.939,0.83629,0.94186,0.6524,1.07827,0.65574,0.97424,0.000437158,0.000437158,0.000437158
26,155.987,1.0233,0.62368,1.02458,0.94746,0.89449,0.95697,0.687,1.00003,0.60648,0.94737,0.000420665,0.000420665,0.000420665
27,161.84,0.99833,0.6036,1.01748,0.94214,0.86866,0.9465,0.68814,0.97547,0.62995,0.94311,0.000404172,0.000404172,0.000404172
